"Source:","C:\Users\Jorge Pais\OneDrive\Faculdade\3Ano\S2\ProjetoIntegrador\PCB\PCB.kicad_sch"
"Date:","10/07/2022 21:21:08"
"Tool:","Eeschema (6.0.2)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","85"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","470n","Device:C","Capacitor_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~"
"","","C2","100u","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"","","C3","100u","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"","","C4","2p2","Device:C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"","","C5","100n","Device:C","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~"
"","","C6","100n","Device:C","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~"
"","","C7","470n","Device:C","Capacitor_THT:C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~"
"","","C8","100u","Device:C_Polarized","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"","","C9","100u","Device:C_Polarized","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"","","C10","10u","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"","","C11","10u","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"","","C12","100n","Device:C","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~"
"","","C13","100n","Device:C","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~"
"","","C14","3n3","Device:C","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","~"
"","","C15","10u","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"","","C16","10u","Device:C_Polarized","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"","","C17","47p","Device:C","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","~"
"","","C18","220n","Device:C","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","~"
"","","C19","100n","Device:C","Capacitor_THT:C_Rect_L13.0mm_W5.0mm_P10.00mm_FKS3_FKP3_MKS4","~"
"","","C20","100n","Device:C","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~"
"","","C21","100n","Device:C","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","~"
"","","D1","1N914","Diode:1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
"","","D2","1N914","Diode:1N914","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85622/1n914.pdf"
